entry_index,key_id,key_name,z_layer_id,z_layer_name,position_label,local_x_cm,local_y_cm,frequency_hz,sample_count,sensor_count,h2_s1_q16,h2_s2_q16,h2_s3_q16,h2_s4_q16,h2_total_q16,f1,f2,f3,f4,h2_s1_g2,h2_s2_g2,h2_s3_g2,h2_s4_g2,h2_total_g2,std_s1_q16,std_s2_q16,std_s3_q16,std_s4_q16
33,1,K1,2,hover-high,top,0.0,0.7,45,200,3,37080,13042,8281,,58403,0.6348968821770123,0.22331998518559357,0.1417831326373941,,0.5657903289794922,0.19901229858398437,0.12635047912597655,,0.8911531066894531,1326.3311018652169,505.5949259041273,261.47246504173245,
34,1,K1,2,hover-high,middle,0.0,2.0,45,200,3,39518,28077,8479,,76074,0.5194660821149129,0.36907707726839745,0.11145684061668967,,0.6029966735839843,0.4284249877929687,0.1293791961669922,,1.1608008575439452,1420.905862434243,945.8101777841049,284.1426841834926,
35,1,K1,2,hover-high,bottom,0.0,3.3,45,200,3,23412,35317,6126,,64856,0.36098921994614097,0.5445488726586624,0.09446190739519665,,0.3572455596923828,0.538901596069336,0.09348228454589844,,0.9896294403076172,576.7940247393345,854.7809766103829,234.04811038545046,
36,2,K2,2,hover-high,top,0.0,0.7,45,200,3,39201,15339,33550,,88089,0.4450133804430579,0.17412864217408258,0.3808579773828594,,0.5981591033935547,0.23405281066894532,0.5119254302978515,,1.3441373443603517,2143.9106005090325,1108.8034504703708,1531.5009297989343,
37,2,K2,2,hover-high,middle,0.0,2.0,45,200,3,43045,31807,38453,,113305,0.37990551357060875,0.28071541490255164,0.33937907152683955,,0.6568184661865234,0.4853287506103516,0.5867523193359375,,1.7288995361328126,1904.5175767041374,1523.5739266523958,1359.1785129260984,
38,2,K2,2,hover-high,bottom,0.0,3.3,45,200,3,26228,44050,22568,,92846,0.2824878788949309,0.4744443829330015,0.24306773817206753,,0.4002069091796875,0.672155990600586,0.34435951232910156,,1.416722412109375,1186.217770226024,2025.5219531703426,827.1161599043994,
39,3,K3,2,hover-high,top,0.0,0.7,45,200,3,8028,4546,32014,,44589,0.18005245011469745,0.10195712914621273,0.7179904207390897,,0.12250312805175781,0.06936904907226563,0.48850250244140625,,0.6803746795654297,773.9944391111605,634.7579074733926,1606.402614539705,
40,3,K3,2,hover-high,middle,0.0,2.0,45,200,3,10977,8913,42747,,62637,0.17524694985616376,0.14230127746749896,0.6824517726763373,,0.16749542236328124,0.13600700378417968,0.6522655487060547,,0.9557679748535156,903.0572404892173,907.8665755357447,1938.8799987041489,
41,3,K3,2,hover-high,bottom,0.0,3.3,45,200,3,7558,11785,26233,,45576,0.1658384344298867,0.2585703852588156,0.5755911803112976,,0.11532974243164062,0.1798187255859375,0.4002858734130859,,0.6954343414306641,568.1990034310162,868.7622689781135,1144.6049479077924,
42,4,K4,2,hover-high,top,0.0,0.7,45,200,3,1786,1393,10689,,13868,0.1287862563769762,0.10044057469399527,0.7707731689290285,,0.0272528076171875,0.021254501342773437,0.16310539245605468,,0.21161270141601562,293.00375151181936,324.25354396675453,866.3772096350411,
43,4,K4,2,hover-high,middle,0.0,2.0,45,200,3,1676,1638,10464,,13778,0.12163817774445541,0.11891388146353536,0.7594479407920092,,0.025572433471679687,0.02499969482421875,0.15966148376464845,,0.2102336120605469,271.5805916758412,359.37887472693774,860.1609932884658,
44,4,K4,2,hover-high,bottom,0.0,3.3,45,200,3,1419,1795,7576,,10790,0.13147372879549418,0.16635556375277236,0.7021707074517335,,0.021645278930664064,0.027388076782226562,0.1156024169921875,,0.16463577270507812,214.5446759418653,345.1661280818267,664.5707303214609,
