entry_index,key_id,key_name,z_layer_id,z_layer_name,position_label,local_x_cm,local_y_cm,frequency_hz,sample_count,sensor_count,h2_s1_q16,h2_s2_q16,h2_s3_q16,h2_s4_q16,h2_total_q16,f1,f2,f3,f4,h2_s1_g2,h2_s2_g2,h2_s3_g2,h2_s4_g2,h2_total_g2,std_s1_q16,std_s2_q16,std_s3_q16,std_s4_q16
0,0,K0,0,press,top,0.0,0.7,75,200,3,22907,8181,3704,,34793,0.6583911771160075,0.23513607234620015,0.10647275053779233,,0.3495362854003906,0.12483245849609376,0.056525802612304686,,0.5308945465087891,2430.408645865958,710.5782642327304,795.5259954112122,
1,0,K0,0,press,middle,0.0,2.0,75,200,3,27534,18447,4099,,50081,0.5497933555079971,0.3683516442703626,0.08185500022164015,,0.42014007568359374,0.2814862823486328,0.0625518035888672,,0.7641781616210939,3551.427998706999,1596.1735995107174,863.5379082443341,
2,0,K0,0,press,bottom,0.0,3.3,75,200,3,14211,21820,3072,,39103,0.36341920992782906,0.5580120302759302,0.07856875979624074,,0.21683937072753906,0.3329460144042969,0.04687919616699219,,0.5966645812988282,1515.7417684998325,1774.3820720183126,642.9377336686656,
3,1,K1,0,press,top,0.0,0.7,75,200,3,400713,46788,27937,,475439,0.8428281412216954,0.09841121370209015,0.058760645076214396,,6.11439697265625,0.7139358520507812,0.4262860870361328,,7.254618911743164,36913.28124842873,3594.6992600216226,6044.106190147142,
4,1,K1,0,press,middle,0.0,2.0,75,200,3,400896,275247,35318,,711461,0.5634835803851754,0.3868755512075678,0.0496408684072567,,6.117193603515625,4.199931869506836,0.5389026641845703,,10.856028137207032,39920.60084455142,18255.72581698068,7042.3940275573195,
5,1,K1,0,press,bottom,0.0,3.3,75,200,3,163074,369451,19404,,551929,0.29546205177314944,0.6693815118775704,0.035156436349280104,,2.4883126831054687,5.637375411987304,0.29607933044433593,,8.421767425537109,14587.143750796453,26374.25222966094,3601.871208687923,
6,2,K2,0,press,top,0.0,0.7,75,200,3,372540,48974,398845,,820360,0.4541184195893775,0.05969797078406008,0.4861836096265625,,5.684516220092774,0.7472810363769531,6.085898513793945,,12.517695770263671,29986.789479001833,3845.76829825979,86095.11783514194,
7,2,K2,0,press,middle,0.0,2.0,75,200,3,370363,272813,379788,,1022963,0.3620491788503228,0.266688550475104,0.3712622706745731,,5.65129135131836,4.1627899932861325,5.795100173950195,,15.609181518554688,35669.180786066565,20261.7795215271,77259.91399371199,
8,2,K2,0,press,bottom,0.0,3.3,75,200,3,186648,341440,188577,,716665,0.26043981549004264,0.4764290691557503,0.2631311153542072,,2.8480233764648437,5.209960403442383,2.8774539184570314,,10.935437698364257,16775.9101319839,28999.10561092833,40164.36773780461,
9,3,K3,0,press,top,0.0,0.7,75,200,3,21238,8265,324964,,354467,0.059915133113637206,0.023317552592185094,0.9167673142941778,,0.32406509399414063,0.12611846923828124,4.958551712036133,,5.408735275268555,1549.3709288288585,637.2134257844855,66568.05244972227,
10,3,K3,0,press,middle,0.0,2.0,75,200,3,24890,17210,360486,,402586,0.06182488087417966,0.042748839971156964,0.8954262791546633,,0.3797885894775391,0.26260498046875,5.500579681396484,,6.142973251342774,1709.138172990996,1351.049745050122,66733.96167754392,
11,3,K3,0,press,bottom,0.0,3.3,75,200,3,14860,26921,155656,,197437,0.07526349768377716,0.13635182245331284,0.78838467986291,,0.22674224853515626,0.41077972412109376,2.3751236724853517,,3.0126456451416015,1164.3646686498178,2164.158192092251,32291.668645859336,
12,4,K4,0,press,top,0.0,0.7,75,200,3,2050,1235,17919,,21204,0.09665998537977222,0.05824203551300493,0.8450979791072228,,0.03127334594726563,0.018843612670898437,0.2734227752685547,,0.32353973388671875,168.5438491906483,125.3467621241171,3761.6426908699077,
13,4,K4,0,press,middle,0.0,2.0,75,200,3,2285,1921,22409,,26615,0.085852104469472,0.07217656130558096,0.841971334224947,,0.034865188598632815,0.029311447143554686,0.34193092346191406,,0.4061075592041016,157.11221905058818,169.64351733856498,4868.9659886648415,
14,4,K4,0,press,bottom,0.0,3.3,75,200,3,1778,2223,13059,,17060,0.10424231873252125,0.130292713779183,0.7654649674882956,,0.027135848999023438,0.03391716003417969,0.1992620849609375,,0.26031509399414066,141.36383687138658,213.42242847226717,2801.1931501415606,
15,0,K0,1,hover-low,top,0.0,0.7,75,200,3,13179,5062,2160,,20402,0.6459885043076373,0.2481244689436663,0.10588702674869636,,0.20109817504882813,0.07724189758300781,0.03296295166015625,,0.3113030242919922,1565.6427022472274,359.67121010028035,517.958321103156,
16,0,K0,1,hover-low,middle,0.0,2.0,75,200,3,15880,11015,2519,,29414,0.5398860074385841,0.37446607420905553,0.08564791835236042,,0.2423143768310547,0.16806976318359376,0.03844093322753906,,0.4488250732421875,1800.82051459189,833.1443666016113,586.4617334276807,
17,0,K0,1,hover-low,bottom,0.0,3.3,75,200,3,8538,12121,1930,,22589,0.37795916090677106,0.5365931830370769,0.08544765605615205,,0.13027748107910156,0.18495651245117187,0.029452667236328126,,0.34468666076660154,742.1012308135596,835.3528978222317,414.69027707434856,
18,1,K1,1,hover-low,top,0.0,0.7,75,200,3,94482,21787,13730,,129999,0.7267884582603329,0.16759598064971518,0.105615561089952,,1.4416787719726563,0.33244827270507815,0.20950210571289063,,1.983629150390625,8246.610843880047,1558.516060584555,2950.944120972134,
19,1,K1,1,hover-low,middle,0.0,2.0,75,200,3,118092,69827,15692,,203610,0.5799903344795586,0.34294256161339537,0.07706710390704598,,1.8019414520263672,1.065470199584961,0.23943572998046875,,3.106847381591797,9127.44134047297,4145.821665963817,3168.027983525398,
