entry_index,key_id,key_name,z_layer_id,z_layer_name,position_label,local_x_cm,local_y_cm,frequency_hz,sample_count,sensor_count,h2_s1_q16,h2_s2_q16,h2_s3_q16,h2_s4_q16,h2_total_q16,f1,f2,f3,f4,h2_s1_g2,h2_s2_g2,h2_s3_g2,h2_s4_g2,h2_total_g2,std_s1_q16,std_s2_q16,std_s3_q16,std_s4_q16
0,0,K0,0,press,top,0.0,0.7,75,200,3,15448,6948,2776,,25172,0.6137039387501949,0.27603588464712736,0.11026017660267774,,0.23572319030761718,0.10602516174316406,0.042350845336914064,,0.3840991973876953,1547.1533081679397,548.6246975620037,642.2013235543819,
1,0,K0,0,press,middle,0.0,2.0,75,200,3,19990,14741,3184,,37915,0.5272264510241437,0.3887830809239712,0.08399046805188502,,0.3050167846679688,0.2249230194091797,0.048591079711914065,,0.5785308837890626,3115.6107015479324,1083.31981287845,719.6166470941316,
2,0,K0,0,press,bottom,0.0,3.3,75,200,3,11307,18811,2552,,32670,0.3460899910713548,0.5757831389100686,0.0781268700185766,,0.17252815246582032,0.2870317077636719,0.03894676208496094,,0.49850662231445314,1217.2059344971171,1717.7337954118502,565.2795350753466,
3,1,K1,0,press,top,0.0,0.7,75,200,3,313473,41671,18479,,373624,0.8390068630930285,0.11153302687624449,0.04946011003072703,,4.783217544555664,0.6358550262451171,0.28197441101074217,,5.7010469818115235,24140.39648104345,3287.339405807529,3345.887299263829,
4,1,K1,0,press,middle,0.0,2.0,75,200,3,361311,162398,21526,,545234,0.6626706209902282,0.29784940670244725,0.0394799723073245,,5.5131658172607425,2.4779930114746094,0.328458251953125,,8.319617080688477,31275.54139415935,13839.049461848888,4450.008611722004,
5,1,K1,0,press,bottom,0.0,3.3,75,200,3,147977,347174,14364,,509515,0.29042762066397254,0.6813813617460517,0.028191017589975702,,2.2579554748535156,5.297460250854492,0.219173583984375,,7.774589309692383,17931.114028222004,27380.90513239062,2676.859244039552,
6,2,K2,0,press,top,0.0,0.7,75,200,3,461750,62506,281837,,806093,0.5728248976178749,0.0775417239150338,0.3496333784670912,,7.045746765136719,0.9537632751464844,4.30049087524414,,12.300000915527344,42746.598978707065,4852.829475790387,58635.128119149704,
7,2,K2,0,press,middle,0.0,2.0,75,200,3,390094,294474,343601,,1028168,0.3794064714527657,0.28640625718814994,0.3341872713590845,,5.952355270385742,4.493312377929687,5.242929458618164,,15.688597106933592,54855.63691797749,21379.765652401336,60699.86438629311,
8,2,K2,0,press,bottom,0.0,3.3,75,200,3,249894,370410,132435,,752739,0.33197931311178147,0.49208349721547107,0.17593718967274743,,3.8130745697021484,5.652012023925781,2.02079345703125,,11.48588005065918,31600.260586203636,28613.099950589065,25812.44282941078,
9,3,K3,0,press,top,0.0,0.7,75,200,3,33917,10182,354665,,398763,0.08505434576809393,0.02553270067403889,0.8894129535578672,,0.5175255584716797,0.15535743713378905,5.4117626953125,,6.084645690917969,4931.422029899185,850.7705742296215,66747.49522148079,
