entry_index,key_id,key_name,z_layer_id,z_layer_name,position_label,local_x_cm,local_y_cm,frequency_hz,sample_count,sensor_count,h2_s1_q16,h2_s2_q16,h2_s3_q16,h2_s4_q16,h2_total_q16,f1,f2,f3,f4,h2_s1_g2,h2_s2_g2,h2_s3_g2,h2_s4_g2,h2_total_g2,std_s1_q16,std_s2_q16,std_s3_q16,std_s4_q16
23,2,K2,1,hover-low,bottom,0.0,3.3,45,200,3,106412,240053,53178,,399644,0.2662679756095687,0.6006682303765598,0.13306379401387153,,1.6237227630615234,3.6629214477539063,0.811433334350586,,6.098077545166015,3679.208342561617,8284.54561950141,1837.6960020566514,
24,3,K3,1,hover-low,top,0.0,0.7,45,200,3,31767,12411,144253,,188431,0.16858797352593485,0.06586642589267527,0.7655456005813899,,0.4847295379638672,0.18938125610351564,2.2011212158203124,,2.875232009887695,1928.583752336154,989.239908161817,6792.5973035062225,
25,3,K3,1,hover-low,middle,0.0,2.0,45,200,3,34250,24248,180619,,239116,0.1432353745239402,0.10140572070123645,0.7553589047748234,,0.5226126098632813,0.36999176025390623,2.756023712158203,,3.6486280822753905,1913.833275497111,1598.7086262355626,7168.956542419545,
26,3,K3,1,hover-low,bottom,0.0,3.3,45,200,3,18620,33228,83170,,135018,0.1379038759283431,0.24610384659153678,0.6159922774801203,,0.284111328125,0.5070262908935547,1.2690751647949219,,2.0602127838134763,1094.8698231296723,1939.819821368727,3777.835778312763,
27,4,K4,1,hover-low,top,0.0,0.7,45,200,3,3049,1766,24443,,29258,0.10421047954487585,0.06034582053766584,0.8354436999174584,,0.046523818969726564,0.026940841674804688,0.3729762268066406,,0.44644088745117183,279.7286091464368,265.62912297976663,1340.962703843772,
28,4,K4,1,hover-low,middle,0.0,2.0,45,200,3,3431,2641,31732,,37805,0.09075909751421087,0.06986129632840578,0.8393796061573834,,0.052354736328125,0.04029975891113281,0.48419937133789065,,0.5768538665771484,296.45631313905255,354.245279114627,1632.9720052407513,
29,4,K4,1,hover-low,bottom,0.0,3.3,45,200,3,2526,3116,17897,,23538,0.10729759784350774,0.13238232704462635,0.760320075111866,,0.038537521362304684,0.047547073364257814,0.27308021545410155,,0.35916481018066404,199.6406045247309,368.22754239057133,1122.0938921387105,
30,0,K0,2,hover-high,top,0.0,0.7,45,200,3,6683,3473,1204,,11361,0.5882586462088539,0.30573872981348277,0.10600262397766318,,0.10197418212890624,0.05299957275390625,0.01837547302246094,,0.17334922790527346,243.61453076530555,138.52012705740634,179.86061262822386,
31,0,K0,2,hover-high,middle,0.0,2.0,45,200,3,7112,5071,1256,,13439,0.5292523040758824,0.3773177956027691,0.0934299003213484,,0.10852745056152344,0.07737205505371093,0.019158554077148438,,0.20505805969238283,273.2560300798502,232.3472314769427,187.22092397752982,
32,0,K0,2,hover-high,bottom,0.0,3.3,45,200,3,4678,5856,996,,11530,0.40571248662687653,0.5079258659517566,0.0863616474213669,,0.07137641906738282,0.08935867309570313,0.0151934814453125,,0.17592857360839845,276.99918659627866,376.4963823199368,176.9581634172326,
33,1,K1,2,hover-high,top,0.0,0.7,45,200,3,32687,12453,5686,,50826,0.6431090737900804,0.2450122727528949,0.11187865345702461,,0.4987589263916016,0.1900176239013672,0.08676673889160157,,0.7755432891845704,1638.748575216772,688.3964736799572,309.25477518544477,
34,1,K1,2,hover-high,middle,0.0,2.0,45,200,3,37275,24175,6192,,67642,0.5510553414301657,0.35739825602668396,0.09154640254315027,,0.5687642669677735,0.3688837432861328,0.09448837280273438,,1.0321363830566408,1240.257956545734,805.0159177152958,213.36379238286892,
35,1,K1,2,hover-high,bottom,0.0,3.3,45,200,3,21844,33097,4516,,59457,0.3673940726908187,0.5566583102305669,0.0759476170786145,,0.3333161926269531,0.5050251007080078,0.06890304565429688,,0.9072443389892577,734.4975057139404,1224.7428666356868,183.02650928212557,
36,2,K2,2,hover-high,top,0.0,0.7,45,200,3,47342,18012,24618,,89972,0.5261848895510185,0.20020009489586296,0.2736150155531185,,0.7223826599121094,0.27484840393066406,0.37563743591308596,,1.3728684997558593,2023.6324802443748,1033.0712263803498,879.8531720548606,
37,2,K2,2,hover-high,middle,0.0,2.0,45,200,3,55620,34433,28741,,118794,0.46820118760753626,0.2898567645862119,0.241942047806252,,0.8486882019042968,0.5254109191894532,0.4385579681396484,,1.8126570892333982,2195.0015314573247,1709.2042479177262,1048.877672931882,
38,2,K2,2,hover-high,bottom,0.0,3.3,45,200,3,30068,51657,18233,,99958,0.3008062650422816,0.5167893559108554,0.18240437904686302,,0.45880035400390623,0.7882254028320312,0.27820960998535155,,1.525235366821289,1459.109298990312,2361.5550110890917,733.0134241437875,
39,3,K3,2,hover-high,top,0.0,0.7,45,200,3,13584,7234,36875,,57692,0.23545481325506856,0.12538273158093569,0.6391624551639957,,0.20727394104003907,0.1103760528564453,0.5626630401611328,,0.8803130340576172,980.8868262827267,702.1117140277607,1689.1694277884028,
40,3,K3,2,hover-high,middle,0.0,2.0,45,200,3,15715,12231,44684,,72630,0.216364926213367,0.16840452691569363,0.6152305468709395,,0.23978561401367188,0.18663368225097657,0.6818269348144531,,1.1082462310791015,1100.0535813768345,990.0863418788283,2021.312750640039,
41,3,K3,2,hover-high,bottom,0.0,3.3,45,200,3,9844,15424,26077,,51345,0.19171891965585577,0.30039517185301323,0.507885908491131,,0.150203857421875,0.2353472137451172,0.3979076385498047,,0.7834587097167969,698.9449280165069,1039.5790368100927,1247.5771877423056,
42,4,K4,2,hover-high,top,0.0,0.7,45,200,3,2171,1449,12304,,15924,0.1363574422657268,0.090992982401055,0.7726495753332182,,0.03313278198242187,0.022109909057617186,0.18774208068847656,,0.24298477172851562,296.1002497466019,284.0229479725186,860.559043166127,
43,4,K4,2,hover-high,middle,0.0,2.0,45,200,3,2328,1955,14116,,18399,0.1265475117389009,0.10624238591750391,0.7672101023435953,,0.035528335571289066,0.029827651977539064,0.2153949737548828,,0.2807509613037109,306.05753834042383,339.3052737211728,975.36895038493,
44,4,K4,2,hover-high,bottom,0.0,3.3,45,200,3,1911,2399,10196,,14506,0.131761126926008,0.16538567725270942,0.7028531958212826,,0.029165267944335938,0.03660804748535156,0.1555762481689453,,0.2213495635986328,220.25477151471657,354.56076203522576,715.4117143121156,
